epoch,loss,lr,val_loss
0,186.92341353968277,0.001,74.62762556171312
1,101.20369129418106,0.001,61.80775715005517
2,85.01889192962088,0.001,57.89083466016492
3,77.02263333418985,0.001,55.51072857991175
4,72.00585343110448,0.001,54.94100383119234
5,61.08237513226144,0.0005,50.538714884123976
6,56.97153495922521,0.0005,50.201720099073405
7,49.904584383737806,0.00025,48.56476573541876
8,46.98093651364821,0.00025,48.348065061918504
9,42.54101055315488,0.000125,48.308519310480214
10,39.645136847841364,6.25e-05,48.42441220130031
11,38.02192554111104,3.125e-05,48.816753137654125
12,37.1676909482296,1.5625e-05,48.90757498280719
